"file","label","type","color","style","public_id","url"
"lilac-evening-abaya-1.png","lilac-evening-abaya","abaya","lilac","evening","MERO/lilac-evening-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535364/MERO/lilac-evening-abaya-1.jpg"
"lilac-open-abaya-1.png","lilac-open-abaya","abaya","lilac","open","MERO/lilac-open-abaya-1",""
"lilac-casual-abaya.png","lilac-embroidered-abaya","abaya","lilac","embroidered","MERO/lilac-casual-abaya","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535361/MERO/lilac-casual-abaya.jpg"
"maroon-abaya-1.png","maroon-abaya","abaya","maroon","simple","MERO/maroon-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535366/MERO/maroon-abaya-1.jpg"
"navy-floral-abaya-1.png","navy-floral-abaya","abaya","navy","floral","MERO/navy-floral-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535369/MERO/navy-floral-abaya-1.jpg"
"navy-simple-abaya-1.png","navy-simple-abaya","abaya","navy","simple","MERO/navy-simple-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535371/MERO/navy-simple-abaya-1.jpg"
"olive-beach-abaya-1.png","olive-beach-abaya","abaya","olive","beach","MERO/olive-beach-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535374/MERO/olive-beach-abaya-1.jpg"
"olive-green-abaya-1.png","olive-green-abaya","abaya","olive","classic","MERO/olive-green-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535376/MERO/olive-green-abaya-1.jpg"
"olive-green-set-1.png","olive-green-set","set","olive","casual","MERO/olive-green-set-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535379/MERO/olive-green-set-1.jpg"
"olive-simple-abaya-1.png","olive-simple-abaya","abaya","olive","simple","MERO/olive-simple-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535382/MERO/olive-simple-abaya-1.jpg"
"pink-abaya-1.png","pink-abaya","abaya","pink","simple","MERO/pink-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535384/MERO/pink-abaya-1.jpg"
"pink-abaya-2.png","pink-abaya","abaya","pink","simple","MERO/pink-abaya-2","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535388/MERO/pink-abaya-2.jpg"
"pink-abaya-3.png","pink-abaya","abaya","pink","simple","MERO/pink-abaya-3","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535390/MERO/pink-abaya-3.jpg"
"pink-elegant-abaya-1.png","pink-elegant-abaya","abaya","pink","elegant","MERO/pink-elegant-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535393/MERO/pink-elegant-abaya-1.jpg"
"pink-embroidered-abaya-1.png","pink-embroidered-abaya","abaya","pink","embroidered","MERO/pink-embroidered-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535395/MERO/pink-embroidered-abaya-1.jpg"
"pink-floral-abaya-1.png","pink-floral-abaya","abaya","pink","floral","MERO/pink-floral-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535398/MERO/pink-floral-abaya-1.jpg"
"purple-abaya-1.png","purple-abaya","abaya","purple","simple","MERO/purple-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535400/MERO/purple-abaya-1.jpg"
"purple-casual-abaya-1.png","purple-casual-abaya","abaya","purple","casual","MERO/purple-casual-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535403/MERO/purple-casual-abaya-1.jpg"
"red-formal-set-1.png","red-formal-set","set","red","formal","MERO/red-formal-set-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535406/MERO/red-formal-set-1.jpg"
"white-beach-abaya-1.png","white-beach-abaya","abaya","white","beach","MERO/white-beach-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535411/MERO/white-beach-abaya-1.jpg"
"white-simple-abaya-1.png","white-simple-abaya","abaya","white","simple","MERO/white-simple-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535414/MERO/white-simple-abaya-1.jpg"
"white-textured-abaya-1.png","white-textured-abaya","abaya","white","textured","MERO/white-textured-abaya-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535416/MERO/white-textured-abaya-1.jpg"
"yellow-pleated-dress-1.png","yellow-pleated-dress","dress","yellow","pleate","MERO/yellow-pleated-dress-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767535419/MERO/yellow-pleated-dress-1.jpg"
"silver-formal.png","silver-formal-set","set","silver","formal","MERO/silver-formal-set","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540270/MERO/silver-formal-set.jpg"
"mukawer1.png","mukawer-dress-1","dress","mixed","printed","MERO/mukawer-dress-1","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540273/MERO/mukawer-dress-1.jpg"
"mukawer2.png","mukawer-dress-2","dress","cream","embroidered","MERO/mukawer-dress-2","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540276/MERO/mukawer-dress-2.jpg"
"mukawer3.png","mukawer-dress-3","dress","pink","floral","MERO/mukawer-dress-3","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540280/MERO/mukawer-dress-3.jpg"
"mukawer4.png","mukawer-dress-4","dress","blue","floral","MERO/mukawer-dress-4","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540282/MERO/mukawer-dress-4.jpg"
"mukawer5.png","mukawer-dress-5","dress","yellow","floral","MERO/mukawer-dress-5","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540286/MERO/mukawer-dress-5.jpg"
"mukawer6.png","mukawer-dress-6","dress","lilac","floral","MERO/mukawer-dress-6","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540291/MERO/mukawer-dress-6.jpg"
"mukawer7.png","mukawer-dress-7","dress","pink","printed","MERO/mukawer-dress-7","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540295/MERO/mukawer-dress-7.jpg"
"mukawer8.png","mukawer-dress-8","dress","beige","printed","MERO/mukawer-dress-8","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540298/MERO/mukawer-dress-8.jpg"
"Burgundy-formal-A.png","burgundy-formal-set","set","burgundy","formal","MERO/burgundy-formal-set-a","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540847/MERO/burgundy-formal-set-a.jpg"
"Burgundy-formal-B.png","burgundy-formal-set","set","burgundy","formal","MERO/burgundy-formal-set-b","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540851/MERO/burgundy-formal-set-b.jpg"
"mukawer.png","mukawer-hanging-rack","reference","mixed","rack","MERO/mukawer-hanging-rack","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767540881/MERO/mukawer-hanging-rack.jpg"
"landscape-New-collactions.png","mukawer-white","reference","white","rack","MERO/mukawer-white","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767681825/MERO/mukawer-white.jpg"
"mukawer-main2.png","mukawer-mixed","reference","mixed","rack","MERO/mukawer-mixed","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767681831/MERO/mukawer-mixed.jpg"
"landscape_new_collections2.png","black-abaya-rack","reference","black","rack","MERO/black-abaya","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767681837/MERO/black-abaya.jpg"
"landscape-mukawer2.png","mukawer-lilac","reference","lilac","rack","MERO/mukawer-lilac","https://res.cloudinary.com/dyxwzlwvb/image/upload/v1767681841/MERO/mukawer-lilac.jpg"
